,position_detail_symbol,position_detail_report_date,position_detail_position_symbol,position_detail_name,position_detail_value,position_detail_amount,position_detail_value_percent,position_detail_net_value_percent,position_detail_stat_date,position_detail_type,position_detail_investment_type
159,260108.OF,2009-03-26,601186.SH,中国铁建,156018728.56,15539714.0,0.052672,3.69,2008-12-31,股票,0.0
160,260108.OF,2009-03-26,601088.SH,中国神华,107168593.16,6109954.0,0.03618,2.53,2008-12-31,股票,0.0
161,260108.OF,2009-03-26,600829.SH,人民同泰,48468721.08,2966262.0,0.016363,1.15,2008-12-31,股票,0.0
162,260108.OF,2009-03-26,600299.SH,安迪苏,5505000.0,750000.0,0.001858,0.13,2008-12-31,股票,0.0
163,260108.OF,2009-03-26,600276.SH,恒瑞医药,104009772.01,2700851.0,0.035114,2.46,2008-12-31,股票,0.0
164,260108.OF,2009-03-26,600036.SH,招商银行,152000000.0,12500000.0,0.051315,3.59,2008-12-31,股票,0.0
165,260108.OF,2009-03-26,600028.SH,中国石化,61776105.3,8800015.0,0.020856,1.46,2008-12-31,股票,0.0
166,260108.OF,2009-03-26,080217.IB,08国开17,282150000.0,2700000.0,0.384875,6.67,2008-12-31,债券,0.0
167,260108.OF,2009-03-26,080213.IB,08国开13,157276000.0,1400000.0,0.214537,3.72,2008-12-31,债券,0.0
168,260108.OF,2009-03-26,0801095.IB,08央行票据95,293670000.0,3000000.0,0.400589,6.94,2008-12-31,债券,0.0
169,260108.OF,2009-03-26,002078.SZ,太阳纸业,20480697.54,2998638.0,0.006914,0.48,2008-12-31,股票,0.0
170,260108.OF,2009-03-26,000968.SZ,蓝焰控股,104060000.0,11000000.0,0.035131,2.46,2008-12-31,股票,0.0
171,260108.OF,2009-03-26,000680.SZ,山推股份,44595315.46,5883287.0,0.015055,1.05,2008-12-31,股票,0.0
172,260108.OF,2009-03-26,000538.SZ,云南白药,40187955.15,1167915.0,0.013567,0.95,2008-12-31,股票,0.0
173,260108.OF,2009-03-26,600970.SH,中材国际,18659552.0,583111.0,0.006299,0.44,2008-12-31,股票,0.0
174,260108.OF,2009-03-26,600529.SH,山东药玻,57341247.6,6016920.0,0.019358,1.35,2008-12-31,股票,0.0
175,260108.OF,2009-03-26,600426.SH,华鲁恒升,37394764.63,3524483.0,0.012624,0.88,2008-12-31,股票,0.0
176,260108.OF,2009-03-26,600118.SH,中国卫星,73094567.13,4113369.0,0.024677,1.73,2008-12-31,股票,0.0
177,260108.OF,2009-03-26,600037.SH,歌华有线,47450000.0,5000000.0,0.016019,1.12,2008-12-31,股票,0.0
178,260108.OF,2009-03-26,600030.SH,中信证券,89850000.0,5000000.0,0.030333,2.12,2008-12-31,股票,0.0
179,260108.OF,2009-03-26,002122.SZ,*ST天马,53520548.09,1003573.0,0.018069,1.26,2008-12-31,股票,0.0
180,260108.OF,2009-03-26,000983.SZ,山西焦煤,23336790.4,2001440.0,0.007879,0.55,2008-12-31,股票,0.0
181,260108.OF,2009-03-26,000839.SZ,中信国安,29800000.0,5000000.0,0.01006,0.7,2008-12-31,股票,0.0
182,260108.OF,2009-03-26,000825.SZ,太钢不锈,86936406.27,24082107.0,0.02935,2.05,2008-12-31,股票,0.0
183,260108.OF,2009-03-26,000568.SZ,泸州老窖,54734006.6,3007363.0,0.018478,1.29,2008-12-31,股票,0.0
184,260108.OF,2009-03-26,000522.SZ,白云山A,41705464.52,8652586.0,0.01408,0.99,2008-12-31,股票,0.0
185,260108.OF,2009-08-29,601918.SH,新集能源,49470000.0,3000000.0,0.010186,0.93,2009-06-30,股票,0.0
186,260108.OF,2009-08-29,601328.SH,交通银行,225249801.78,24999978.0,0.046378,4.22,2009-06-30,股票,0.0
187,260108.OF,2009-08-29,601318.SH,中国平安,123650049.46,2500001.0,0.025459,2.32,2009-06-30,股票,0.0
188,260108.OF,2009-08-29,601186.SH,中国铁建,82320000.0,8000000.0,0.016949,1.54,2009-06-30,股票,0.0
189,260108.OF,2009-08-29,601088.SH,中国神华,56049246.3,1873930.0,0.01154,1.05,2009-06-30,股票,0.0
190,260108.OF,2009-08-29,600585.SH,海螺水泥,64478329.72,1530098.0,0.013276,1.21,2009-06-30,股票,0.0
191,260108.OF,2009-08-29,600583.SH,海油工程,177450000.0,15000000.0,0.036536,3.33,2009-06-30,股票,0.0
192,260108.OF,2009-08-29,600383.SH,金地集团,88819862.04,5509917.0,0.018288,1.67,2009-06-30,股票,0.0
193,260108.OF,2009-08-29,600153.SH,建发股份,59363416.2,4387540.0,0.012223,1.11,2009-06-30,股票,0.0
194,260108.OF,2009-08-29,600118.SH,中国卫星,61355000.0,3500000.0,0.012633,1.15,2009-06-30,股票,0.0
195,260108.OF,2009-08-29,600089.SH,特变电工,90200000.0,5000000.0,0.018572,1.69,2009-06-30,股票,0.0
196,260108.OF,2009-08-29,600001.SH,邯郸钢铁,94986496.67,17053231.0,0.019557,1.78,2009-06-30,股票,0.0
197,260108.OF,2009-08-29,002233.SZ,塔牌集团,73962704.61,5000859.0,0.015229,1.39,2009-06-30,股票,0.0
198,260108.OF,2009-08-29,002032.SZ,苏泊尔,43321723.2,2947056.0,0.00892,0.81,2009-06-30,股票,0.0
199,260108.OF,2009-08-29,002024.SZ,苏宁易购,57892978.5,3602550.0,0.01192,1.09,2009-06-30,股票,0.0
200,260108.OF,2009-08-29,000800.SZ,一汽解放,54039644.88,3499977.0,0.011126,1.01,2009-06-30,股票,0.0
201,260108.OF,2009-08-29,601628.SH,中国人寿,27548347.0,999940.0,0.005672,0.52,2009-06-30,股票,0.0
202,260108.OF,2009-08-29,601601.SH,中国太保,82804187.22,3699919.0,0.017049,1.55,2009-06-30,股票,0.0
203,260108.OF,2009-08-29,601166.SH,兴业银行,186275686.05,5019555.0,0.038353,3.49,2009-06-30,股票,0.0
204,260108.OF,2009-08-29,600806.SH,退市昆机,44343961.78,4207207.0,0.00913,0.83,2009-06-30,股票,0.0
205,260108.OF,2009-08-29,600694.SH,大商股份,114985873.44,3506736.0,0.023675,2.16,2009-06-30,股票,0.0
206,260108.OF,2009-08-29,600519.SH,贵州茅台,296020000.0,2000000.0,0.060949,5.55,2009-06-30,股票,0.0
207,260108.OF,2009-08-29,600517.SH,国网英大,11799526.2,766203.0,0.002429,0.22,2009-06-30,股票,0.0
208,260108.OF,2009-08-29,600449.SH,宁夏建材,42496395.84,1526451.0,0.00875,0.8,2009-06-30,股票,0.0
209,260108.OF,2009-08-29,600396.SH,金山股份,18080000.0,2000000.0,0.003723,0.34,2009-06-30,股票,0.0
210,260108.OF,2009-08-29,600395.SH,盘江股份,42340398.0,1561800.0,0.008718,0.79,2009-06-30,股票,0.0
211,260108.OF,2009-08-29,600276.SH,恒瑞医药,115203000.0,3300000.0,0.02372,2.16,2009-06-30,股票,0.0
212,260108.OF,2009-08-29,600050.SH,中国联通,65161816.02,9498807.0,0.013416,1.22,2009-06-30,股票,0.0
213,260108.OF,2009-08-29,600030.SH,中信证券,84780000.0,3000000.0,0.017456,1.59,2009-06-30,股票,0.0
214,260108.OF,2009-08-29,600016.SH,民生银行,213839611.92,26999951.0,0.044028,4.01,2009-06-30,股票,0.0
215,260108.OF,2009-08-29,600006.SH,东风汽车,61832000.0,13100000.0,0.012731,1.16,2009-06-30,股票,0.0
216,260108.OF,2009-08-29,600000.SH,浦发银行,161136708.14,6999857.0,0.033177,3.02,2009-06-30,股票,0.0
217,260108.OF,2009-08-29,002191.SZ,劲嘉股份,11091918.6,1001980.0,0.002284,0.21,2009-06-30,股票,0.0
