,股票代码,股票名称,当前价格,万元收益
462,600221,海航控股,1.4,-6981.428571428572
463,600368,五洲交通,3.44,1234.3023255813953
464,600378,昊华科技,22.73,216.3660360756709
465,600604,市北高新,6.39,51.799687010954614
466,600736,苏州高新,4.48,231.91964285714283
467,600740,山西焦化,5.91,798.3079526226734
468,600745,闻泰科技,115.27,160.4927561377635
469,600771,广誉远,15.64,82.28900255754476
470,600928,西安银行,5.33,840.3377110694183
471,600968,海油发展,2.39,469.45606694560666
472,600989,宝丰能源,13.74,312.8093158660844
473,601236,红塔证券,16.21,160.27143738433065
474,601066,中信建投,42.52,230.99717779868294
475,600860,*ST京城,4.11,-259.61070559610704
476,601869,长飞光纤,26.36,203.1866464339909
477,601698,中国卫通,18.42,59.17480998914223
478,601949,中国出版,5.95,373.10924369747903
479,601952,苏垦农发,12.65,314.3873517786561
480,603236,移远通信,197.6,59.114372469635626
481,603267,鸿远电子,138.13,100.11583291102586
482,603279,景津环保,17.22,453.0197444831591
483,603317,天味食品,66.76,79.79328939484719
484,603327,福蓉科技,18.84,336.5711252653928
485,603360,百傲化学,15.78,433.58681875792144
486,603379,三美股份,16.83,207.30837789661322
487,603429,集友股份,29.9,29.130434782608695
488,603508,思维列控,22.61,302.83060592658114
489,603605,珀莱雅,188.56,72.74607551972846
490,603606,东方电缆,25.8,363.4883720930232
491,603613,国联股份,134.1,77.09172259507831
492,603681,永冠新材,19.43,428.25527534740087
493,603687,大胜达,8.61,318.1184668989547
494,603915,国茂股份,34.36,146.21653084982538
495,603956,威派格,14.05,139.92882562277578
496,603982,泉峰汽车,15.98,194.74342928660823
497,603983,丸美股份,51.13,164.81517699980444
498,601811,新华文轩,9.0,670.5555555555557
499,601881,中国银河,12.05,467.21991701244804
500,603157,*ST拉夏,1.31,-11073.282442748092
501,600025,华能水电,4.35,593.1034482758622
502,600094,大名城,3.94,413.1979695431472
503,600231,凌钢股份,2.29,663.3187772925763
504,600252,中恒集团,2.88,435.41666666666674
505,600315,上海家化,35.21,132.06475433115594
506,600392,盛和资源,10.67,105.90440487347703
507,600452,涪陵电力,17.47,367.3726388093876
508,600545,卓郎智能,3.38,-222.78106508875743
509,600588,用友网络,42.84,-1.937441643323996
510,600760,中航沈飞,81.55,101.77805027590435
511,600782,新钢股份,4.36,1378.669724770642
512,600801,华新水泥,20.96,1008.2061068702291
513,600933,爱柯迪,14.9,205.10067114093957
514,601003,柳钢股份,5.49,878.1420765027322
515,601019,山东出版,5.72,619.7552447552448
516,601100,恒立液压,118.29,95.57020880885959
517,601108,财通证券,11.74,359.28449744463376
518,601360,三六零,17.27,140.9959467284308
519,601838,成都银行,9.7,1199.4845360824743
520,601966,玲珑轮胎,40.91,298.2889269127353
521,603007,花王股份,4.76,2.3109243697478994
522,603056,德邦股份,13.88,221.97406340057634
523,603080,新疆火炬,11.28,196.6312056737589
524,603103,横店影视,14.2,-408.661971830986
525,603180,金牌厨柜,49.43,308.05179041068175
526,603260,合盛硅业,38.48,200.1559251559252
527,603337,杰克股份,26.56,204.55572289156626
528,603357,设计总院,9.13,695.0711938663746
529,603363,傲农生物,12.93,1217.324052590874
530,603533,掌阅科技,30.68,127.37940026075619
531,603659,璞泰来,103.96,99.47095036552521
532,603660,苏州科达,6.98,-319.62750716332374
533,603707,健友股份,31.86,204.676710608914
534,603711,香飘飘,18.45,57.669376693766935
535,603848,好太太,11.49,329.9390774586597
536,601077,渝农商行,4.41,1586.1678004535145
537,601658,邮储银行,5.5,1105.6363636363637
538,601375,中原证券,5.64,37.23404255319149
539,601326,秦港股份,2.74,581.021897810219
540,601319,中国人保,6.5,904.3076923076923
541,600021,上海电力,7.11,1210.970464135021
542,601598,中国外运,4.28,681.5420560747664
543,600120,浙江东方,5.66,551.7667844522969
544,600132,重庆啤酒,123.34,93.7652018809794
545,600170,上海建工,3.01,896.3455149501661
546,600219,南山铝业,3.58,357.2625698324022
547,600369,西南证券,5.18,207.33590733590734
548,600639,浦东金桥,12.18,499.0968801313629
549,600675,中华企业,3.31,588.8217522658609
550,600704,物产中大,4.47,1494.4071588366892
551,600733,北汽蓝谷,8.7,-948.5057471264369
552,600738,兰州民百,6.24,164.58333333333331
553,600845,宝信软件,61.24,140.62704114957543
554,600848,上海临港,19.78,330.58645096056625
555,600895,张江高科,17.81,364.68276249298145
556,600903,贵州燃气,11.0,137.1818181818182
557,600985,淮北矿业,10.67,1231.2089971883786
558,601018,宁波港,4.07,468.058968058968
559,601162,天风证券,5.73,260.5584642233856
560,601577,长沙银行,9.28,1395.2586206896553
561,601615,明阳智能,18.3,354.53551912568304
562,601860,紫金银行,4.11,770.07299270073
563,601872,招商轮船,5.81,1019.6213425129089
564,603027,千禾味业,42.4,79.33962264150944
565,603121,华培动力,10.45,181.53110047846894
566,603127,昭衍新药,112.8,45.82446808510638
567,603185,上机数控,140.83,104.6012923382802
568,603220,中贝通信,14.08,51.13636363636363
569,603332,苏州龙杰,16.2,41.97530864197532
570,603351,威尔药业,19.63,294.7529291900153
571,603393,新天然气,21.08,628.03605313093
572,603501,韦尔股份,282.1,70.09571074087202
573,603505,金石资源,29.92,241.57754010695183
574,603583,捷昌驱动,79.51,176.25455917494654
575,603590,康辰药业,35.05,252.78174037089875
576,603638,艾迪精密,77.61,90.55534080659709
577,603708,家家悦,22.58,272.85208148804253
578,603712,七一二,38.89,57.52121367960916
579,603808,歌力思,13.78,731.9303338171262
580,603876,鼎胜新材,12.98,-22.95839753466872
